Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot,I70735,I70735,,Yes,
"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72109N,S72109N,,Yes,
"Unspecified occupant of special construction vehicle injured in nontraffic accident, initial encounter",V859XXA,V859XXA,,Yes,
"Unspecified sprain of left great toe, subsequent encounter",S93502D,S93502D,,Yes,
Other sickle-cell disorders with acute chest syndrome,D57811,D57811,,Yes,
"Displaced spiral fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing",S82443H,S82443H,,Yes,
"Contusion of unspecified wrist, sequela",S60219S,S60219S,,Yes,
"Contusion of scalp, subsequent encounter",S0003XD,S0003XD,,Yes,
"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for open fracture",S12300B,S12300B,,Yes,
"Nondisplaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72124N,S72124N,,Yes,
Left sided colitis with unspecified complications,K51519,K51519,,Yes,
Late lesions of pinta,A672,A672,,Yes,
"Unspecified fracture of right forearm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S5291XJ,S5291XJ,,Yes,
"Unspecified atherosclerosis of native arteries of extremities, right leg",I70201,I70201,,Yes,
"Unspecified fracture of left forearm, subsequent encounter for open fracture type I or II with malunion",S5292XQ,S5292XQ,,Yes,
"Epileptic spasms, intractable, without status epilepticus",G40824,G40824,,Yes,
"Unspecified rider of other motorcycle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V2729XD,V2729XD,,Yes,
"Other fracture of upper end of left ulna, subsequent encounter for closed fracture with nonunion",S52092K,S52092K,,Yes,
"Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",S06344A,S06344A,,Yes,
"Burn of third degree of unspecified foot, subsequent encounter",T25329D,T25329D,,Yes,
"Nondisplaced transverse fracture of right patella, initial encounter for open fracture type IIIA, IIIB, or IIIC",S82034C,S82034C,,Yes,
Personal history of vaginal dysplasia,Z87411,Z87411,,Yes,
"Alopecia areata, unspecified",L639,L639,,Yes,
"Displaced fracture of neck of unspecified talus, initial encounter for closed fracture",S92113A,S92113A,,Yes,
"Other nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",S12291A,S12291A,,Yes,
"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing",S52351H,S52351H,,Yes,
"Nondisplaced fracture of base of unspecified metacarpal bone, initial encounter for open fracture",S62349B,S62349B,,Yes,
Encounter for attention to other artificial openings of urinary tract,Z436,Z436,,Yes,
"Acquired clawhand, right hand",M21511,M21511,,Yes,
"Unspecified injury of unspecified wrist, hand and finger(s), sequela",S6990XS,S6990XS,,Yes,
"Nondisplaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with nonunion",S42126K,S42126K,,Yes,
"Burn with resulting rupture and destruction of right eyeball, initial encounter",T2621XA,T2621XA,,Yes,
Chronic lacrimal canaliculitis of bilateral lacrimal passages,H04423,H04423,,Yes,
"Toxic effect of tobacco cigarettes, accidental (unintentional), initial encounter",T65221A,T65221A,,Yes,
"Other mechanical complication of breast prosthesis and implant, sequela",T8549XS,T8549XS,,Yes,
"Crushing injury of unspecified forearm, subsequent encounter",S5780XD,S5780XD,,Yes,
"Nondisplaced fracture of head of unspecified radius, subsequent encounter for closed fracture with nonunion",S52126K,S52126K,,Yes,
Other diseases of Bartholin's gland,N758,N758,,Yes,
Other priapism,N4839,N4839,,Yes,
"Nondisplaced fracture of distal phalanx of left index finger, subsequent encounter for fracture with delayed healing",S62661G,S62661G,,Yes,
"Neurogenic bowel, not elsewhere classified",K592,K592,,Yes,
"Unspecified physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with routine healing",S49101D,S49101D,,Yes,
Kaposi's sarcoma of palate,C462,C462,,Yes,
"Drowning and submersion due to other powered watercraft sinking, subsequent encounter",V9013XD,V9013XD,,Yes,
"Unspecified fracture of the lower end of unspecified radius, subsequent encounter for closed fracture with delayed healing",S52509G,S52509G,,Yes,
"Salter-Harris Type IV physeal fracture of phalanx of left toe, subsequent encounter for fracture with routine healing",S99242D,S99242D,,Yes,
"Injury to rider of non-recreational watercraft being pulled behind other watercraft, subsequent encounter",V9432XD,V9432XD,,Yes,
"Nondisplaced segmental fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52265C,S52265C,,Yes,
"Gout due to renal impairment, unspecified hand",M10349,M10349,,Yes,
"Toxic effect of copper and its compounds, accidental (unintentional), sequela",T564X1S,T564X1S,,Yes,
"Displaced fracture of proximal phalanx of left middle finger, sequela",S62613S,S62613S,,Yes,
"Dislocation of interphalangeal joint of right thumb, initial encounter",S63124A,S63124A,,Yes,
"Dislocation of metatarsophalangeal joint of unspecified toe(s), subsequent encounter",S93129D,S93129D,,Yes,
"Puncture wound with foreign body of right ring finger without damage to nail, subsequent encounter",S61244D,S61244D,,Yes,
"Retinal hemorrhage, right eye",H3561,H3561,,Yes,
Furuncle left hand,L02522,L02522,,Yes,
"Exposure to industrial wiring, appliances and electrical machinery, sequela",W861XXS,W861XXS,,Yes,
"Corrosion of unspecified degree of unspecified thumb (nail), subsequent encounter",T23419D,T23419D,,Yes,
"Other specified bursopathies, left ankle and foot",M71872,M71872,,Yes,
