Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Nondisplaced oblique fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with malunion",S52234Q,S52234Q,,Yes,
"Unspecified retinoschisis, bilateral",H33103,H33103,,Yes,
"Cerebral venous thrombosis in pregnancy, unspecified trimester",O2250,O2250,,Yes,
"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S1214XB,S1214XB,,Yes,
"Other physeal fracture of upper end of right fibula, subsequent encounter for fracture with delayed healing",S89291G,S89291G,,Yes,
"Internal ophthalmoplegia (complete) (total), bilateral",H52513,H52513,,Yes,
"Supervision of pregnancy with history of ectopic pregnancy, first trimester",O0911,O0911,,Yes,
"Other assault by drowning and submersion, sequela",X928XXS,X928XXS,,Yes,
"Other fracture of upper end of right radius, subsequent encounter for open fracture type I or II with routine healing",S52181E,S52181E,,Yes,
"Pathological fracture, unspecified humerus, subsequent encounter for fracture with malunion",M84429P,M84429P,,Yes,
