Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Car passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V401XXD,V401XXD,,Yes,
"Sciatica, unspecified side",M5430,M5430,,Yes,
"Infection and inflammatory reaction due to other internal joint prosthesis, initial encounter",T8459XA,T8459XA,,Yes,
"Retained (old) magnetic foreign body in iris or ciliary body, left eye",H44622,H44622,,Yes,
"Salter-Harris Type II physeal fracture of unspecified calcaneus, initial encounter for open fracture",S99029B,S99029B,,Yes,
"4-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with malunion",S42249P,S42249P,,Yes,
"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder",F13282,F13282,,Yes,
"Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82251J,S82251J,,Yes,
"Laceration of plantar artery of right foot, subsequent encounter",S95111D,S95111D,,Yes,
"ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter",T8030XA,T8030XA,,Yes,
"Other secondary kyphosis, site unspecified",M4010,M4010,,Yes,
"Corrosion of third degree of lip(s), sequela",T2072XS,T2072XS,,Yes,
"Poisoning by digestants, undetermined, initial encounter",T475X4A,T475X4A,,Yes,
"Complete traumatic amputation at level between left shoulder and elbow, sequela",S48112S,S48112S,,Yes,
"Posterior dislocation of unspecified hip, initial encounter",S73016A,S73016A,,Yes,
"Nondisplaced fracture (avulsion) of lateral epicondyle of right humerus, subsequent encounter for fracture with malunion",S42434P,S42434P,,Yes,
"Synovial hypertrophy, not elsewhere classified, left forearm",M67232,M67232,,Yes,
"Unspecified injury of descending [left] colon, subsequent encounter",S36502D,S36502D,,Yes,
"Other specified injuries of pelvis, initial encounter",S3983XA,S3983XA,,Yes,
"Burn of unspecified degree of multiple sites of left shoulder and upper limb, except wrist and hand, subsequent encounter",T22092D,T22092D,,Yes,
"Burn of third degree of multiple sites of left wrist and hand, subsequent encounter",T23392D,T23392D,,Yes,
"Laceration of unspecified muscle, fascia and tendon at wrist and hand level, unspecified hand, subsequent encounter",S66929D,S66929D,,Yes,
"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",E083599,E083599,,Yes,
"Nondisplaced comminuted fracture of shaft of unspecified fibula, initial encounter for open fracture type I or II",S82456B,S82456B,,Yes,
"Vertigo from infrasound, subsequent encounter",T7523XD,T7523XD,,Yes,
"Nondisplaced oblique fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing",S82436E,S82436E,,Yes,
"Laceration of abdominal wall with foreign body, periumbilic region without penetration into peritoneal cavity, initial encounter",S31125A,S31125A,,Yes,
"Frostbite with tissue necrosis of other part of head, sequela",T3409XS,T3409XS,,Yes,
"Blister (nonthermal) of unspecified hand, sequela",S60529S,S60529S,,Yes,
