Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Displaced fracture of neck of second metacarpal bone, left hand, initial encounter for closed fracture",S62331A,S62331A,,Yes,
"Unspecified fracture of other metacarpal bone, subsequent encounter for fracture with delayed healing",S62308G,S62308G,,Yes,
"Strain of muscle(s) and tendon(s) of the rotator cuff of left shoulder, sequela",S46012S,S46012S,,Yes,
"Stress fracture, unspecified shoulder, sequela",M84319S,M84319S,,Yes,
"Tributary (branch) retinal vein occlusion, left eye, with macular edema",H348320,H348320,,Yes,
"Laceration with foreign body of unspecified finger without damage to nail, subsequent encounter",S61229D,S61229D,,Yes,
"Pedal cycle driver injured in noncollision transport accident in nontraffic accident, sequela",V180XXS,V180XXS,,Yes,
Cerebral infarction due to thrombosis of other cerebral artery,I6339,I6339,,Yes,
"Hemorrhage due to genitourinary prosthetic devices, implants and grafts, sequela",T8383XS,T8383XS,,Yes,
"Other nondisplaced fracture of lower end of right humerus, sequela",S42494S,S42494S,,Yes,
"Unspecified injury of long flexor muscle, fascia and tendon of unspecified thumb at wrist and hand level, initial encounter",S66009A,S66001A,,No,
"Nondisplaced spiral fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S82244R,S82244R,,Yes,
"Dislocation of distal interphalangeal joint of left index finger, sequela",S63291S,S63291S,,Yes,
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with nonunion",S52042M,S52042M,,Yes,
"Laceration with foreign body of right lesser toe(s) without damage to nail, subsequent encounter",S91124D,S91124D,,Yes,
"Other complications of foreign body accidentally left in body following kidney dialysis, initial encounter",T81592A,T81592A,,Yes,
"Burn of second degree of back of unspecified hand, sequela",T23269S,T23269S,,Yes,
"Person boarding or alighting a heavy transport vehicle injured in collision with pedal cycle while boarding or alighting, initial encounter",V614XXA,V614XXA,,Yes,
Personal history of urinary calculi,Z87442,Z87442,,Yes,
"Displaced segmental fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72361N,S72361N,,Yes,
"Unspecified injury of extensor muscle, fascia and tendon of left ring finger at forearm level, initial encounter",S56406A,S56406A,,Yes,
"Pressure collapse of lung due to anesthesia during pregnancy, unspecified trimester",O29029,O29029,,Yes,
"Argentous corneal deposits, left eye",H18022,H18022,,Yes,
"Nondisplaced spiral fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82445J,S82445J,,Yes,
"Other specified injury of extensor muscle, fascia and tendon of unspecified thumb at wrist and hand level, initial encounter",S66299A,S66299A,,Yes,
"Other intraarticular fracture of lower end of right radius, subsequent encounter for closed fracture with malunion",S52571P,S52571P,,Yes,
"Nondisplaced oblique fracture of shaft of right femur, subsequent encounter for open fracture type I or II with nonunion",S72334M,S72334M,,Yes,
"Ciguatera fish poisoning, assault, subsequent encounter",T6103XD,T6103XD,,Yes,
"Military operations involving fragments from weapons, civilian, subsequent encounter",Y37271D,Y37271D,,Yes,
Unspecified chronic respiratory disease originating in the perinatal period,P279,P279,,Yes,
Anomalies of interarch distance,M2625,M2625,,Yes,
Secondary malignant neoplasm of mediastinum,C781,C781,,Yes,
"Displaced oblique fracture of shaft of right femur, subsequent encounter for closed fracture with nonunion",S72331K,S72331K,,Yes,
Acute on chronic graft-versus-host disease,D89812,D89812,,Yes,
"Displaced longitudinal fracture of right patella, subsequent encounter for open fracture type I or II with routine healing",S82021E,S82021E,,Yes,
"Unspecified fracture of second thoracic vertebra, initial encounter for open fracture",S22029B,S22029B,,Yes,
"Smith's fracture of left radius, initial encounter for closed fracture",S52542A,S52542A,,Yes,
"Person on outside of snowmobile injured in traffic accident, initial encounter",V8622XA,V8622XA,,Yes,
"Nondisplaced simple supracondylar fracture without intercondylar fracture of unspecified humerus, subsequent encounter for fracture with nonunion",S42416K,S42416K,,Yes,
"Unspecified fracture of left ischium, subsequent encounter for fracture with routine healing",S32602D,S32602D,,Yes,
"Motion sickness, subsequent encounter",T753XXD,T753XXD,,Yes,
Malignant carcinoid tumor of the ascending colon,C7A022,C7A022,,Yes,
"Benign neoplasm of connective and other soft tissue of trunk, unspecified",D216,D216,,Yes,
"Laceration without foreign body, right lower leg, subsequent encounter",S81811D,S81811D,,Yes,
Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement,M05759,M05759,,Yes,
"Unspecified dislocation of unspecified radial head, initial encounter",S53006A,S53006A,,Yes,
"Unspecified injury of vein at forearm level, left arm, subsequent encounter",S55202D,S55202D,,Yes,
"Pressure ulcer of unspecified buttock, unspecified stage",L89309,L89309,,Yes,
"Unspecified electric (assisted) bicycle rider injured in collision with unspecified motor vehicles in traffic accident, sequela",V29601S,V29601S,,Yes,
Hemangioma unspecified site,D1800,D1800,,Yes,
"Unspecified subluxation of right wrist and hand, initial encounter",S63001A,S63001A,,Yes,
Other and unspecified ventral hernia with gangrene,K437,K437,,Yes,
"Displaced fracture of greater trochanter of left femur, subsequent encounter for closed fracture with routine healing",S72112D,S72112D,,Yes,
"Body mass index [BMI] 34.0-34.9, adult",Z6834,Z6834,,Yes,
"Other specified injury of greater saphenous vein at hip and thigh level, unspecified leg, subsequent encounter",S75299D,S75299D,,Yes,
Pulmonary cryptococcosis,B450,B450,,Yes,
"Hemarthrosis, right ankle",M25071,M25071,,Yes,
"Displaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S62326D,S62326D,,Yes,
"Adverse effect of unspecified drugs, medicaments and biological substances, subsequent encounter",T50905D,T50905D,,Yes,
"Unspecified injury of unspecified intra-abdominal organ, sequela",S3690XS,S3690XS,,Yes,
"Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",S065X5S,S065X5S,,Yes,
"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear",H66004,H66004,,Yes,
"Unspecified injury of right Achilles tendon, sequela",S86001S,S86001S,,Yes,
"Other specified rheumatoid arthritis, right knee",M06861,M06861,,Yes,
"Abrasion of left front wall of thorax, sequela",S20312S,S20312S,,Yes,
"Intentional self-harm by handgun discharge, sequela",X72XXXS,X72XXXS,,Yes,
"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, sequela",S0530XS,S0530XS,,Yes,
"Laceration of other muscle(s) and tendon(s) at lower leg level, left leg, sequela",S86822S,S86822S,,Yes,
"Pathological fracture in neoplastic disease, unspecified foot, subsequent encounter for fracture with delayed healing",M84576G,M84576G,,Yes,
"Toxic effect of venom of brown recluse spider, intentional self-harm, subsequent encounter",T63332D,T63332D,,Yes,
"Epilepsy, unspecified, intractable, with status epilepticus",G40911,G40911,,Yes,
"Necrosis of amputation stump, left upper extremity",T8752,T8752,,Yes,
"Partial traumatic amputation of one left lesser toe, sequela",S98142S,S98142S,,Yes,
"Other specified injury of greater saphenous vein at lower leg level, left leg, sequela",S85392S,S85392S,,Yes,
"Nondisplaced dome fracture of unspecified talus, subsequent encounter for fracture with routine healing",S92146D,S92146D,,Yes,
"Poisoning by antitussives, accidental (unintentional), initial encounter",T483X1A,T483X1A,,Yes,
"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion",M84759K,M84759K,,Yes,
"Other fracture of upper end of right radius, subsequent encounter for open fracture type I or II with malunion",S52181Q,S52181Q,,Yes,
Disinhibited attachment disorder of childhood,F942,F942,,Yes,
"Poisoning by tricyclic antidepressants, assault, initial encounter",T43013A,T43013A,,Yes,
"Greenstick fracture of shaft of radius, right arm, initial encounter for closed fracture",S52311A,S52311A,,Yes,
Chronic embolism and thrombosis of unspecified deep veins of left distal lower extremity,I825Z2,I825Z2,,Yes,
"Other fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S82491N,S82491N,,Yes,
Isovaleric acidemia,E71110,E71110,,Yes,
"Nondisplaced fracture of neck of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52136C,S52136C,,Yes,
"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S12250K,S12250K,,Yes,
Other specified diseases of jaws,M278,M278,,Yes,
Primary occlusal trauma,K0881,K0881,,Yes,
"Nondisplaced longitudinal fracture of left patella, initial encounter for open fracture type I or II",S82025B,S82025B,,Yes,
"Legal intervention, means unspecified, law enforcement official injured, sequela",Y3591XS,Y3591XS,,Yes,
Other insomnia not due to a substance or known physiological condition,F5109,F5109,,Yes,
"Other fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with routine healing",S52092E,S52092E,,Yes,
"Toxic effect of phosphorus and its compounds, undetermined, sequela",T571X4S,T571X4S,,Yes,
"Passenger of military vehicle injured in traffic accident, sequela",V8614XS,V8614XS,,Yes,
"Laceration without foreign body of unspecified wrist, subsequent encounter",S61519D,S61519D,,Yes,
"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter",T426X2A,T426X2A,,Yes,
Family history of glaucoma,Z83511,Z83511,,Yes,
