Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Partial traumatic amputation of unspecified foot at ankle level, initial encounter",S98029A,S98029A,,Yes,
"Salter-Harris Type II physeal fracture of lower end of humerus, left arm, initial encounter for closed fracture",S49122A,S49122A,,Yes,
Hypermagnesemia,E8341,E8341,,Yes,
"Chronic mastoiditis, left ear",H7012,H7012,,Yes,
"Fracture of unspecified part of scapula, unspecified shoulder, sequela",S42109S,S42109S,,Yes,
"Activity, grass drills",Y93A6,Y93A6,,Yes,
37 weeks gestation of pregnancy,Z3A37,Z3A37,,Yes,
"Adverse effect of other antacids and anti-gastric-secretion drugs, initial encounter",T471X5A,T471X5A,,Yes,
"Contusion of unspecified back wall of thorax, initial encounter",S20229A,S20229A,,Yes,
"Laceration of greater saphenous vein at lower leg level, unspecified leg, sequela",S85319S,S85319S,,Yes,
"Displaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, subsequent encounter for open fracture type I or II with malunion",S72463Q,S72463Q,,Yes,
"Unspecified injury of brachial artery, left side, initial encounter",S45102A,S45102A,,Yes,
"Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with routine healing",M84531D,M84531D,,Yes,
"Unspecified complication of foreign body accidentally left in body following other procedure, subsequent encounter",T81508D,T81508D,,Yes,
"Poisoning by dental drugs, topically applied, undetermined, initial encounter",T497X4A,T497X4A,,Yes,
"Pathological dislocation of right knee, not elsewhere classified",M24361,M24361,,Yes,
"Toxic effect of unspecified inorganic substance, assault, initial encounter",T5793XA,T5793XA,,Yes,
"Displaced fracture of shaft of other metacarpal bone, sequela",S62328S,S62328S,,Yes,
"Underdosing of pyrazolone derivatives, subsequent encounter",T392X6D,T392X6D,,Yes,
"Unspecified injury of right Achilles tendon, initial encounter",S86001A,S86001A,,Yes,
"Aneurysmal bone cyst, unspecified lower leg",M85569,M85569,,Yes,
"Combined forms of age-related cataract, unspecified eye",H25819,H25819,,Yes,
"Legal intervention involving injury by rubber bullet, law enforcement official injured, sequela",Y35041S,Y35041S,,Yes,
Corrosions involving less than 10% of body surface,T320,T320,,Yes,
"Contact with unspecified hot objects, undetermined intent, initial encounter",Y279XXA,Y279XXA,,Yes,
Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage,I69212,I69212,,Yes,
"Laceration with foreign body of right forearm, sequela",S51821S,S51821S,,Yes,
8 weeks gestation of pregnancy,Z3A08,Z3A08,,Yes,
"Pathological fracture in neoplastic disease, unspecified ulna and radius, sequela",M84539S,M84539S,,Yes,
"Nondisplaced fracture of proximal phalanx of right thumb, initial encounter for closed fracture",S62514A,S62514A,,Yes,
"Choroidal rupture, right eye",H31321,H31321,,Yes,
"Pulmonary fibrosis, unspecified",J8410,J8410,,Yes,
"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",I70392,I70392,,Yes,
"Pathological fracture in other disease, left hand, subsequent encounter for fracture with malunion",M84642P,M84642P,,Yes,
"Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester",O98711,O98711,,Yes,
"Injury of facial nerve, unspecified side, initial encounter",S0450XA,S0450XA,,Yes,
Hemorrhagic disease of newborn,P53,P53,,Yes,
"Transient synovitis, unspecified ankle and foot",M67379,M67379,,Yes,
"Other mechanical complication of surgically created arteriovenous shunt, initial encounter",T82591A,T82591A,,Yes,
Stenosis of bilateral lacrimal sac,H04573,H04573,,Yes,
"Other complications of procedures, not elsewhere classified, sequela",T8189XS,T8189XS,,Yes,
