Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, sequela",S72451S,S72451S,,Yes,
"Temporary auditory threshold shift, unspecified ear",H93249,H93249,,Yes,
Other malignant mast cell neoplasm,C9629,C9629,,Yes,
"Heat edema, subsequent encounter",T677XXD,T677XXD,,Yes,
"Torus fracture of lower end of left ulna, sequela",S52622S,S52622S,,Yes,
"Open bite of unspecified back wall of thorax with penetration into thoracic cavity, sequela",S21459S,S21459S,,Yes,
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52033F,S52033N,,No,
"Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V669XXD,V669XXD,,Yes,
"Toxic effect of homologues of benzene, undetermined, subsequent encounter",T522X4D,T522X4D,,Yes,
"Puncture wound without foreign body of left great toe with damage to nail, initial encounter",S91232A,S91132A,,No,
"Displaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with routine healing",S82252D,S82252D,,Yes,
"Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with malunion",M8000XP,M8000XP,,Yes,
"Congenital lordosis, lumbosacral region",Q76427,Q76427,,Yes,
"Displaced fracture of medial condyle of left tibia, subsequent encounter for closed fracture with nonunion",S82132K,S82132K,,Yes,
"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault, subsequent encounter",T44903D,T44903D,,Yes,
"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder",F1314,F1314,,Yes,
"External constriction of right index finger, initial encounter",S60440A,S60440A,,Yes,
"Fall from sled, initial encounter",V00221A,V00221A,,Yes,
Drug-induced myopathy,G720,G720,,Yes,
"Injury, poisoning and certain other consequences of external causes complicating the puerperium",O9A23,O9A23,,Yes,
"Displaced spiral fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with nonunion",S52242M,S52242M,,Yes,
"2-part displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with malunion",S42221P,S42221P,,Yes,
Hypertrophy of kidney,N2881,N2881,,Yes,
"Unspecified injury of right innominate or subclavian artery, initial encounter",S25101A,S25101A,,Yes,
"Displaced fracture of body of unspecified talus, subsequent encounter for fracture with routine healing",S92123D,S92123D,,Yes,
"Toxic effect of cobra venom, intentional self-harm, initial encounter",T63042A,T63042A,,Yes,
"Toxic effect of unspecified corrosive substance, intentional self-harm, subsequent encounter",T5492XD,T5492XD,,Yes,
"Puncture wound with foreign body, right ankle, sequela",S91041S,S91041S,,Yes,
Pneumonia due to other specified infectious organisms,J168,J168,,Yes,
"Poisoning by iminostilbenes, undetermined, sequela",T421X4S,T421X4S,,Yes,
Unspecified entropion of right upper eyelid,H02001,H02001,,Yes,
"Dislocation of interphalangeal joint of left thumb, sequela",S63125S,S63125S,,Yes,
"Other nondisplaced fracture of fifth cervical vertebra, sequela",S12491S,S12491S,,Yes,
Position dependent micturition,R39192,R39192,,Yes,
"Puncture wound without foreign body of left breast, subsequent encounter",S21032D,S21032D,,Yes,
"Osteopathy after poliomyelitis, unspecified upper arm",M89629,M89629,,Yes,
"Burn of third degree of left ankle, initial encounter",T25312A,T25312A,,Yes,
"Other specified injury of other blood vessels at forearm level, left arm, sequela",S55892S,S55892S,,Yes,
"Mechanical lagophthalmos right eye, upper and lower eyelids",H0222A,H0222A,,Yes,
"Displaced fracture of capitate [os magnum] bone, right wrist, initial encounter for open fracture",S62131B,S62131B,,Yes,
"Other fracture of upper end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S82191F,S82191F,,Yes,
"Pedestrian on standing electric scooter injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela",V06931S,V06931S,,Yes,
"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",E103293,E103293,,Yes,
"Other accident to other private fixed-wing aircraft injuring occupant, initial encounter",V9529XA,V9529XA,,Yes,
"Blister (nonthermal) of unspecified shoulder, initial encounter",S40229A,S40229A,,Yes,
Hypertrophic elongation of cervix uteri,N884,N884,,Yes,
"Maternal care for hydrops fetalis, second trimester, fetus 5",O3622X5,O3622X5,,Yes,
"Contracture, right hand",M24541,M24541,,Yes,
"Secondary infectious iridocyclitis, right eye",H20031,H20031,,Yes,
"Partial placenta previa NOS or without hemorrhage, second trimester",O4422,O4422,,Yes,
Personal history of malignant neoplasm of esophagus,Z8501,Z8501,,Yes,
"Unspecified fracture of first thoracic vertebra, subsequent encounter for fracture with delayed healing",S22019G,S22019G,,Yes,
"Opioid dependence with opioid-induced psychotic disorder, unspecified",F11259,F11259,,Yes,
"Pressure ulcer of right lower back, stage 4",L89134,L89134,,Yes,
Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere,M01X11,M01X11,,Yes,
"Sixth [abducent] nerve palsy, bilateral",H4923,H4923,,Yes,
"Toxic effect of tin and its compounds, accidental (unintentional), initial encounter",T566X1A,T566X1A,,Yes,
"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",C44791,C44791,,Yes,
"Monteggia's fracture of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52271C,S52271C,,Yes,
"Nondisplaced supracondylar fracture without intracondylar extension of lower end of left femur, subsequent encounter for open fracture type I or II with nonunion",S72455M,S72455H,,No,
"Injury of peroneal nerve at lower leg level, unspecified leg, sequela",S8410XS,S8410XS,,Yes,
"Strain of other muscles, fascia and tendons at shoulder and upper arm level, left arm, sequela",S46812S,S46812S,,Yes,
"Pseudocoxalgia, left hip",M9132,M9132,,Yes,
"Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V131XXD,V131XXD,,Yes,
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, fetus 4",O35GXX4,O35GXX4,,Yes,
Enteropathogenic Escherichia coli infection,A040,A040,,Yes,
"Adverse effect of thrombolytic drugs, initial encounter",T45615A,T45615A,,Yes,
"Superficial foreign body of right elbow, initial encounter",S50351A,S50351A,,Yes,
"Displaced fracture of medial wall of right acetabulum, subsequent encounter for fracture with delayed healing",S32471G,S32471G,,Yes,
Anemia due to disorders of nucleotide metabolism,D553,D553,,Yes,
"Other contact with other nonvenomous reptiles, subsequent encounter",W5989XD,W5989XD,,Yes,
Heteronymous bilateral field defects,H5347,H5347,,Yes,
Vitiligo of right upper eyelid and periocular area,H02731,H02731,,Yes,
"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, sequela",S06369S,S06369S,,Yes,
"Abscess of bursa, unspecified site",M7100,M7100,,Yes,
"Infective myositis, unspecified hand",M60043,M60043,,Yes,
"Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter",T43591A,T43591A,,Yes,
"Burn of unspecified degree of scalp [any part], subsequent encounter",T2005XD,T2005XD,,Yes,
"Left bundle-branch block, unspecified",I447,I447,,Yes,
"Disorder of tooth development, unspecified",K009,K009,,Yes,
"Aplastic anemia, unspecified",D619,D619,,Yes,
"Spinal osteochondrosis, unspecified",M429,M429,,Yes,
