Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Burn of third degree of neck, initial encounter",T2037XA,T2037XA,,Yes,
Driveway of reform school as the place of occurrence of the external cause,Y92154,Y92154,,Yes,
"Blister (nonthermal), right hip, subsequent encounter",S70221D,S70221D,,Yes,
Salmonella meningitis,A0221,A0221,,Yes,
"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion",S82452Q,S82452Q,,Yes,
"Poisoning by rifampicins, undetermined, initial encounter",T366X4A,T366X4A,,Yes,
"Nondisplaced Rolando's fracture, unspecified hand, subsequent encounter for fracture with routine healing",S62226D,S62226D,,Yes,
"Fracture of unspecified part of left clavicle, initial encounter for open fracture",S42002B,S42002B,,Yes,
Parent-adopted child conflict,Z62821,Z62821,,Yes,
"Laceration without foreign body, left thigh, sequela",S71112S,S71112S,,Yes,
"Torus fracture of lower end of right ulna, sequela",S52621S,S52621S,,Yes,
"Toxic effect of rodenticides, assault, initial encounter",T604X3A,T604X3A,,Yes,
"Laceration with foreign body of unspecified shoulder, sequela",S41029S,S41029S,,Yes,
"Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with malunion",S42031P,S42031P,,Yes,
"Body mass index [BMI] 31.0-31.9, adult",Z6831,Z6831,,Yes,
"Sprain of left coracohumeral (ligament), initial encounter",S43412A,S43412A,,Yes,
"Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with delayed healing",M84532G,M84532G,,Yes,
"Maternal care for hydrops fetalis, unspecified trimester, fetus 5",O3620X5,O3620X5,,Yes,
"Nondisplaced fracture of proximal third of navicular [scaphoid] bone of unspecified wrist, subsequent encounter for fracture with nonunion",S62036K,S62036K,,Yes,
"Pressure ulcer of unspecified ankle, unspecified stage",L89509,L89509,,Yes,
"Passenger in three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident, sequela",V371XXS,V371XXS,,Yes,
"Burn of unspecified degree of multiple right fingers (nail), not including thumb, subsequent encounter",T23031D,T23031D,,Yes,
"Fracture of angle of left mandible, initial encounter for closed fracture",S02652A,S02652A,,Yes,
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52025F,S52025J,,No,
"Toxic effect of herbicides and fungicides, undetermined, initial encounter",T603X4A,T603X4A,,Yes,
"Unspecified sprain of unspecified thumb, sequela",S63609S,S63609S,,Yes,
"Scotoma of blind spot area, right eye",H53421,H53421,,Yes,
"Dislocation of proximal interphalangeal joint of right middle finger, subsequent encounter",S63282D,S63282D,,Yes,
"Nondisplaced fracture of distal phalanx of left little finger, initial encounter for open fracture",S62667B,S62667B,,Yes,
Actinic keratosis,L570,L570,,Yes,
"Contusion of left thumb with damage to nail, sequela",S60112S,S60112S,,Yes,
"Burn of unspecified degree of unspecified toe(s) (nail), sequela",T25039S,T25039S,,Yes,
"Other bursal cyst, right shoulder",M71311,M71311,,Yes,
"Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, subsequent encounter",S06820D,S06820D,,Yes,
"Displaced midcervical fracture of right femur, sequela",S72031S,S72031S,,Yes,
"Nondisplaced unspecified condyle fracture of lower end of unspecified femur, subsequent encounter for closed fracture with delayed healing",S72416G,S72416G,,Yes,
"Burn of third degree of right ear [any part, except ear drum], subsequent encounter",T20311D,T20311D,,Yes,
"Adverse effect of anthelminthics, sequela",T374X5S,T374X5S,,Yes,
"Blister (nonthermal), right hip, initial encounter",S70221A,S70221A,,Yes,
"Acute myeloblastic leukemia, in remission",C9201,C9201,,Yes,
"Labor and delivery complicated by prolapse of cord, fetus 4",O690XX4,O690XX4,,Yes,
"Unspecified fracture of fifth metacarpal bone, left hand, initial encounter for open fracture",S62307B,S62307B,,Yes,
"Unspecified injury of other blood vessels of thorax, right side, subsequent encounter",S25801D,S25801D,,Yes,
