Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, initial encounter",V103XXA,V103XXA,,Yes,
"Unspecified disorder of synovium and tendon, left ankle and foot",M67972,M67972,,Yes,
"Subluxation of unspecified thoracic vertebra, sequela",S23100S,S23100S,,Yes,
"Maternal care for transverse and oblique lie, fetus 1",O322XX1,O322XX1,,Yes,
"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with routine healing",S72041E,S72041E,,Yes,
"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, subsequent encounter",V584XXD,V584XXD,,Yes,
"Fall from (out of) grocery cart, initial encounter",W1782XA,W1782XA,,Yes,
"Laceration of muscle, fascia and tendon of other parts of biceps, left arm, initial encounter",S46222A,S46222A,,Yes,
"Exposure to reduction in atmospheric pressure while surfacing from deep-water diving, initial encounter",W9421XA,W9421XA,,Yes,
"Complete lesion of L3 level of lumbar spinal cord, subsequent encounter",S34113D,S34113D,,Yes,
