Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Cholera due to Vibrio cholerae 01, biovar cholerae",A000,A000,,Yes,
"Cholera due to Vibrio cholerae 01, biovar eltor",A001,A001,,Yes,
"Cholera, unspecified",A009,A009,,Yes,
"Typhoid fever, unspecified",A0100,A0100,,Yes,
Typhoid meningitis,A0101,A0101,,Yes,
Typhoid fever with heart involvement,A0102,A0102,,Yes,
Typhoid pneumonia,A0103,A0103,,Yes,
Typhoid arthritis,A0104,A0104,,Yes,
Typhoid osteomyelitis,A0105,A0105,,Yes,
Typhoid fever with other complications,A0109,A0109,,Yes,
Paratyphoid fever A,A011,A011,,Yes,
Paratyphoid fever B,A012,A012,,Yes,
Paratyphoid fever C,A013,A013,,Yes,
"Paratyphoid fever, unspecified",A014,A014,,Yes,
Salmonella enteritis,A020,A020,,Yes,
Salmonella sepsis,A021,A021,,Yes,
"Localized salmonella infection, unspecified",A0220,A0220,,Yes,
Salmonella meningitis,A0221,A0221,,Yes,
Salmonella pneumonia,A0222,A0222,,Yes,
Salmonella arthritis,A0223,A0223,,Yes,
Salmonella osteomyelitis,A0224,A0224,,Yes,
Salmonella pyelonephritis,A0225,A0225,,Yes,
Salmonella with other localized infection,A0229,A0229,,Yes,
Other specified salmonella infections,A028,A028,,Yes,
"Salmonella infection, unspecified",A029,A029,,Yes,
Shigellosis due to Shigella dysenteriae,A030,A030,,Yes,
Shigellosis due to Shigella flexneri,A031,A031,,Yes,
Shigellosis due to Shigella boydii,A032,A032,,Yes,
Shigellosis due to Shigella sonnei,A033,A033,,Yes,
Other shigellosis,A038,A038,,Yes,
"Shigellosis, unspecified",A039,A039,,Yes,
Enteropathogenic Escherichia coli infection,A040,A040,,Yes,
Enterotoxigenic Escherichia coli infection,A041,A041,,Yes,
Enteroinvasive Escherichia coli infection,A042,A042,,Yes,
Enterohemorrhagic Escherichia coli infection,A043,A043,,Yes,
Other intestinal Escherichia coli infections,A044,A044,,Yes,
Campylobacter enteritis,A045,A045,,Yes,
Enteritis due to Yersinia enterocolitica,A046,A046,,Yes,
"Enterocolitis due to Clostridium difficile, recurrent",A0471,A0471,,Yes,
"Enterocolitis due to Clostridium difficile, not specified as recurrent",A0472,A0472,,Yes,
Other specified bacterial intestinal infections,A048,A048,,Yes,
"Bacterial intestinal infection, unspecified",A049,A049,,Yes,
Foodborne staphylococcal intoxication,A050,A050,,Yes,
Botulism food poisoning,A051,A051,,Yes,
Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A052,A052,,Yes,
Foodborne Vibrio parahaemolyticus intoxication,A053,A053,,Yes,
Foodborne Bacillus cereus intoxication,A054,A054,,Yes,
Foodborne Vibrio vulnificus intoxication,A055,A055,,Yes,
Other specified bacterial foodborne intoxications,A058,A058,,Yes,
"Bacterial foodborne intoxication, unspecified",A059,A059,,Yes,
Acute amebic dysentery,A060,A060,,Yes,
Chronic intestinal amebiasis,A061,A061,,Yes,
Amebic nondysenteric colitis,A062,A062,,Yes,
Ameboma of intestine,A063,A063,,Yes,
Amebic liver abscess,A064,A064,,Yes,
Amebic lung abscess,A065,A065,,Yes,
Amebic brain abscess,A066,A066,,Yes,
Cutaneous amebiasis,A067,A067,,Yes,
Amebic cystitis,A0681,A0681,,Yes,
Other amebic genitourinary infections,A0682,A0682,,Yes,
Other amebic infections,A0689,A0689,,Yes,
"Amebiasis, unspecified",A069,A069,,Yes,
Balantidiasis,A070,A070,,Yes,
Giardiasis [lambliasis],A071,A071,,Yes,
Cryptosporidiosis,A072,A072,,Yes,
Isosporiasis,A073,A073,,Yes,
Cyclosporiasis,A074,A074,,Yes,
Other specified protozoal intestinal diseases,A078,A078,,Yes,
"Protozoal intestinal disease, unspecified",A079,A079,,Yes,
Rotaviral enteritis,A080,A080,,Yes,
Acute gastroenteropathy due to Norwalk agent,A0811,A0811,,Yes,
Acute gastroenteropathy due to other small round viruses,A0819,A0819,,Yes,
Adenoviral enteritis,A082,A082,,Yes,
Calicivirus enteritis,A0831,A0831,,Yes,
Astrovirus enteritis,A0832,A0832,,Yes,
Other viral enteritis,A0839,A0839,,Yes,
"Viral intestinal infection, unspecified",A084,A084,,Yes,
Other specified intestinal infections,A088,A088,,Yes,
"Infectious gastroenteritis and colitis, unspecified",A09,A09,,Yes,
Tuberculosis of lung,A150,A150,,Yes,
Tuberculosis of intrathoracic lymph nodes,A154,A154,,Yes,
