Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
Acute embolism and thrombosis of right peroneal vein,I82451,I82451,,Yes,
"Other specified injury of right middle and inner ear, initial encounter",S09391A,S09391A,,Yes,
Pain in right wrist,M25531,M25531,,Yes,
"Presence of artificial legs, bilateral (complete) (partial)",Z9716,Z9716,,Yes,
"Occupant of animal-drawn vehicle injured in collision with two- or three-wheeled motor vehicle, subsequent encounter",V8032XD,V8032XD,,Yes,
"Unspecified fracture of T11-T12 vertebra, initial encounter for open fracture",S22089B,S22089B,,Yes,
"Underdosing of other nonsteroidal anti-inflammatory drugs [NSAID], sequela",T39396S,T39396S,,Yes,
"Major laceration of left carotid artery, initial encounter",S15022A,S15022A,,Yes,
"Nondisplaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S62341D,S62341D,,Yes,
"Nondisplaced fracture of right radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52514N,S52514N,,Yes,
"Other specified injury of unspecified blood vessel of thorax, sequela",S2599XS,S2599XS,,Yes,
Other psoriatic arthropathy,L4059,L4059,,Yes,
"Other fracture of upper and lower end of right fibula, sequela",S82831S,S82831S,,Yes,
Waterhouse-Friderichsen syndrome,A391,A391,,Yes,
Unspecified intellectual disabilities,F79,F79,,Yes,
"Military operations involving biological weapons, civilian, sequela",Y376X1S,Y376X1S,,Yes,
"Maternal care for excessive fetal growth, first trimester, other fetus",O3661X9,O3661X9,,Yes,
Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration,I7065,I7065,,Yes,
"Other specified disorders of bone density and structure, left shoulder",M85812,M85812,,Yes,
"Laceration of unspecified blood vessel at lower leg level, right leg, subsequent encounter",S85911D,S85911D,,Yes,
"Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type I or II with routine healing",S52501E,S52501E,,Yes,
Absence and aplasia of aorta,Q2541,Q2541,,Yes,
"Osteitis condensans, right lower leg",M85361,M85361,,Yes,
"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",C8103,C8103,,Yes,
"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",V5910XD,V5910XD,,Yes,
"Dislocation of distal interphalangeal joint of left index finger, subsequent encounter",S63291D,S63291D,,Yes,
"Contracture of muscle, right lower leg",M62461,M62461,,Yes,
"Superficial foreign body, right hip, sequela",S70251S,S70251S,,Yes,
"Nondisplaced oblique fracture of shaft of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52234C,S52234C,,Yes,
"Chronic perichondritis of external ear, unspecified ear",H61029,H61029,,Yes,
"Poisoning by chloramphenicol group, intentional self-harm, subsequent encounter",T362X2D,T362X2D,,Yes,
"Nondisplaced intraarticular fracture of left calcaneus, subsequent encounter for fracture with routine healing",S92065D,S92065D,,Yes,
"Placentitis, unspecified trimester, fetus 1",O411491,O411491,,Yes,
"Unstable burst fracture of fourth thoracic vertebra, subsequent encounter for fracture with delayed healing",S22042G,S22042G,,Yes,
"Fracture of unspecified phalanx of left thumb, subsequent encounter for fracture with routine healing",S62502D,S62502D,,Yes,
"Other specified injury of ulnar artery at wrist and hand level of left arm, sequela",S65092S,S65092S,,Yes,
Congenital hydrocele,P835,P835,,Yes,
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",S52033B,S52033B,,Yes,
Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere,B963,B963,,Yes,
"Contusion of lung, unspecified, sequela",S27329S,S27329S,,Yes,
"Displaced longitudinal fracture of unspecified patella, initial encounter for closed fracture",S82023A,S82023A,,Yes,
"Subluxation of unspecified interphalangeal joint of right little finger, subsequent encounter",S63226D,S63226D,,Yes,
"Salter-Harris Type I physeal fracture of upper end of radius, right arm, initial encounter for closed fracture",S59111A,S59111A,,Yes,
"Dislocation of T1/T2 thoracic vertebra, sequela",S23111S,S23111S,,Yes,
"Toxic effect of ingested mushrooms, intentional self-harm, initial encounter",T620X2A,T620X2A,,Yes,
"Unspecified physeal fracture of upper end of right fibula, subsequent encounter for fracture with malunion",S89201P,S89201P,,Yes,
"Laceration without foreign body of scalp, subsequent encounter",S0101XD,S0101XD,,Yes,
"Osteochondropathy, unspecified, right upper arm",M93921,M93921,,Yes,
"Intentional self-harm by exposure to extremes of cold, subsequent encounter",X832XXD,X832XXD,,Yes,
"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",E083399,E083399,,Yes,
"Traumatic rupture of unspecified radiocarpal ligament, subsequent encounter",S63329D,S63329D,,Yes,
"Strain of flexor muscle, fascia and tendon of left index finger at wrist and hand level, sequela",S66111S,S66111S,,Yes,
"Displaced fracture of shaft of unspecified metacarpal bone, subsequent encounter for fracture with routine healing",S62329D,S62329D,,Yes,
"Complication of anesthesia during labor and delivery, unspecified",O749,O749,,Yes,
"Traumatic rupture of collateral ligament of right wrist, subsequent encounter",S63311D,S63311D,,Yes,
"Laceration without foreign body of abdominal wall, left upper quadrant without penetration into peritoneal cavity, initial encounter",S31111A,S31111A,,Yes,
"Open bite of right buttock, subsequent encounter",S31815D,S31815D,,Yes,
"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with routine healing",S72061E,S72061E,,Yes,
"Person on outside of special agricultural vehicle injured in nontraffic accident, sequela",V847XXS,V847XXS,,Yes,
"Diffuse interstitial keratitis, unspecified eye",H16329,H16329,,Yes,
"Osteopathy in diseases classified elsewhere, unspecified forearm",M90839,M90839,,Yes,
"Unspecified fracture of upper end of left humerus, subsequent encounter for fracture with routine healing",S42202D,S42202D,,Yes,
"Nondisplaced midcervical fracture of left femur, subsequent encounter for closed fracture with delayed healing",S72035G,S72035G,,Yes,
"Burn of second degree of right ankle, sequela",T25211S,T25211S,,Yes,
"Aortic aneurysm of unspecified site, ruptured",I718,I718,,Yes,
